code             d |   (a) secs   (a) nodes |   (b) secs   (b) nodes | speedup
[[20,3,6]]       6 |      0.000           0 |      0.019        4861 |    0.0x
[[21,3,6]]       6 |      0.000           0 |      0.031        4863 |    0.0x
[[22,7,5]]       5 |      0.000           0 |      0.026        4547 |    0.0x
[[23,2,7]]       7 |      0.000           0 |      0.130        6248 |    0.0x
[[24,8,5]]       5 |      0.000           0 |      0.046        1315 |    0.0x
[[25,8,5]]       5 |      0.000           0 |      0.038        1317 |    0.0x
[[26,6,6]]       6 |      0.000           0 |      0.078        4428 |    0.0x
[[27,6,6]]       6 |      0.000           0 |      0.060        4430 |    0.0x
[[28,6,6]]       6 |      0.000           0 |      0.066        4432 |    0.0x
[[29,6,7]]       7 |      0.000           0 |      0.681       11505 |    0.0x
[[30,9,6]]       6 |      0.000           0 |      5.357        5273 |    0.0x
[[31,9,6]]       6 |      0.000           0 |      5.226        5275 |    0.0x
[[32,5,8]]       8 |      0.000           0 |      4.896       30794 |    0.0x
[[33,7,8]]       8 |      0.000           0 |     12.537       42463 |    0.0x
[[34,17,5]]      5 |      0.000           0 |     23.809        8176 |    0.0x
[[35,4,9]]       9 |      0.000           0 |     71.211       23052 |    0.0x
[[36,4,9]]       9 |      0.000           0 |     81.920       23054 |    0.0x
[[37,4,9]]       9 |      0.000           0 |     78.666       23056 |    0.0x
[[38,4,9]]       9 |      0.000           0 |     83.870       23058 |    0.0x
[[39,4,9]]       9 |      0.000           0 |    187.852        8587 |    0.0x
